schoolid,schoolname,CalendarYear,Firsttimebaryear,GradTotal,GradDidNotTake,GradTakers,graddidnottakepct,GradNoInfo,gradnoinfopct,graddidnottakenoinfopct,PriorYrFirstTimeTaker,EarlyFirstTimeTakers,TotalFirstTimeTakers,totalfirsttimepassers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,GradAltPath,AvgPassPctAltPath,UltimateBarYear,UltimateCohortTotal,UltimateDidNotTake,UltimateNoInfo,UltimateTakers,UltimatePassers,UltimateSchoolPassPct,UltimateAltPath,UltimatePassPctAltPath
00177400,University of Chicago,2024,2023,212,10,202,0.0472,0,0,0.0472,5,1,207,201,,0.971,0.7927,0.1783,0,0.971,2021,213,4,0,209,208,0.9952,0,0.9952
00177500,University of Illinois,2024,2023,151,3,148,0.0199,0,0,0.0199,1,0,149,108,,0.7248,0.7762,-0.0514,0,0.7248,2021,121,5,0,116,108,0.931,0,0.931
00177608,University of Illinois Chicago School of Law,2024,2023,298,85,211,0.2852,2,0.0067,0.2919,61,0,272,161,,0.5919,0.7814,-0.1895,0,0.5919,2021,289,8,4,277,223,0.8051,0,0.8051
00180900,Indiana University - Bloomington,2024,2023,174,22,152,0.1264,0,0,0.1264,10,3,162,132,,0.8148,0.7605,0.0543,0,0.8148,2021,164,13,0,151,147,0.9735,0,0.9735
00181300,Indiana University - Indianapolis,2024,2023,215,26,165,0.1209,24,0.1116,0.2326,10,0,175,133,,0.76,0.744,0.016,0,0.76,2021,236,12,4,220,187,0.85,0,0.85
00184000,University of Notre Dame,2024,2023,165,7,158,0.0424,0,0,0.0424,6,0,164,150,,0.9146,0.7747,0.1399,0,0.9146,2021,184,3,1,180,173,0.9611,0,0.9611
00186000,Drake University,2024,2023,107,19,88,0.1776,0,0,0.1776,8,0,96,87,,0.9063,0.8507,0.0556,0,0.9063,2021,101,5,0,96,88,0.9167,0,0.9167
00189200,University of Iowa,2024,2023,167,24,142,0.1437,1,0.006,0.1497,11,1,153,135,,0.8824,0.8118,0.0706,0,0.8824,2021,141,10,0,131,119,0.9084,0,0.9084
00194800,University of Kansas,2024,2023,93,8,84,0.086,1,0.0108,0.0968,2,0,86,79,,0.9186,0.7881,0.1305,0,0.9186,2021,98,1,0,97,97,1,0,1
00194900,Washburn University,2024,2023,100,22,73,0.22,5,0.05,0.27,21,0,94,79,,0.8404,0.7824,0.058,0,0.8404,2021,101,1,1,99,88,0.8889,0,0.8889
00198903,University of Kentucky,2024,2023,132,15,114,0.1136,3,0.0227,0.1364,10,0,124,92,,0.7419,0.7571,-0.0152,0,0.7419,2021,130,4,5,121,110,0.9091,0,0.9091
00199900,University of Louisville,2024,2023,110,13,94,0.1182,3,0.0273,0.1455,13,0,107,80,,0.7477,0.7561,-0.0084,0,0.7477,2021,119,5,2,112,101,0.9018,0,0.9018
