schoolid,schoolname,CalendarYear,Firsttimebaryear,State,Takers,Passers,SchoolPassPct,PassPct,PassPctDiff
00175800,Southern Illinois University-Carbondale,2024,2023,MO,11,9,0.8182,0.8437,-0.0255
00177400,University of Chicago,2024,2023,CA,28,25,0.8929,0.7233,0.1696
00177400,University of Chicago,2024,2023,DC,22,22,1,0.8341,0.1659
00177400,University of Chicago,2024,2023,IL,64,62,0.9688,0.7828,0.186
00177400,University of Chicago,2024,2023,NY,60,59,0.9833,0.8296,0.1537
00177400,University of Chicago,2024,2023,TX,12,12,1,0.7917,0.2083
00177500,University of Illinois,2024,2023,IL,111,85,0.7658,0.7828,-0.017
00177608,University of Illinois Chicago School of Law,2024,2023,IL,251,150,0.5976,0.7828,-0.1852
00180900,Indiana University - Bloomington,2024,2023,IL,19,13,0.6842,0.7828,-0.0986
00180900,Indiana University - Bloomington,2024,2023,IN,74,61,0.8243,0.7438,0.0805
00180900,Indiana University - Bloomington,2024,2023,OH,10,8,0.8,0.7732,0.0268
00181300,Indiana University - Indianapolis,2024,2023,IN,173,131,0.7572,0.7438,0.0134
00184000,University of Notre Dame,2024,2023,CA,15,13,0.8667,0.7233,0.1434
00184000,University of Notre Dame,2024,2023,IL,39,37,0.9487,0.7828,0.1659
00184000,University of Notre Dame,2024,2023,NY,26,24,0.9231,0.8296,0.0935
00186000,Drake University,2024,2023,IA,83,76,0.9157,0.8617,0.054
00189200,University of Iowa,2024,2023,IL,22,19,0.8636,0.7828,0.0808
00189200,University of Iowa,2024,2023,IA,57,53,0.9298,0.8617,0.0681
00189200,University of Iowa,2024,2023,MN,13,13,1,0.8199,0.1801
