schoolid,schoolname,CalendarYear,AcademicYear,FacTotal,FacMen,FacWomen,FacAGI,FacPNR,FacMinority,FTFacTotal,FTFacMen,FTFacWomen,FTFacAGI,FTFacPNR,FTFacMinority,NonFTFacTotal,NonFTFacMen,NonFTFacWomen,NonFTFacAGI,NonFTFacPNR,NonFTFacMinority,TotalLibrarian,FTLibrarian,PTLibrarian,TotalAdmin,FTAdmin,PTAdmin
00297805,Wake Forest University,2024,2023,106,65,41,0,0,14,45,23,22,0,0,8,61,42,19,0,0,6,7,7,0,,,
00300500,University of North Dakota,2024,2023,31,18,12,0,1,2,20,9,11,0,0,2,11,9,1,0,1,0,3,3,0,,,
00302302,Capital University,2024,2023,76,49,27,0,0,10,24,12,12,0,0,3,52,37,15,0,0,7,4,4,0,,,
00302400,Case Western Reserve University,2024,2023,119,77,42,0,0,14,49,27,22,0,0,7,70,50,20,0,0,7,8,8,0,,,
00303200,Cleveland State University,2024,2023,222,133,89,0,0,26,31,14,17,0,0,7,191,119,72,0,0,19,7,7,0,,,
00308900,Ohio Northern University,2024,2023,25,14,11,0,0,3,20,12,8,0,0,3,5,2,3,0,0,0,3,2,1,,,
00309000,The Ohio State University,2024,2023,147,75,72,0,0,28,52,23,29,0,0,13,95,52,43,0,0,15,9,8,1,,,
00312300,University of Akron,2024,2023,74,43,31,0,0,8,31,16,15,0,0,5,43,27,16,0,0,3,4,4,0,,,
00312500,University of Cincinnati,2024,2023,118,60,58,0,0,16,45,21,24,0,0,5,73,39,34,0,0,11,7,7,0,,,
00312700,University of Dayton,2024,2023,61,34,27,0,0,12,26,12,14,0,0,4,35,22,13,0,0,8,3,3,0,,,
00313100,University of Toledo,2024,2023,52,28,24,0,0,7,21,12,9,0,0,2,31,16,15,0,0,5,2,2,0,,,
00316614,Oklahoma City University,2024,2023,75,40,35,0,0,19,27,18,9,0,0,7,48,22,26,0,0,12,7,7,0,,,
00318400,University of Oklahoma,2024,2023,82,48,32,0,0,15,36,16,20,0,0,8,44,32,12,0,0,7,7,7,0,,,
00318500,University of Tulsa,2024,2023,60,34,26,0,0,12,21,9,12,0,0,8,39,25,14,0,0,4,3,3,0,,,
00319700,Lewis and Clark College,2024,2023,174,102,62,0,0,28,37,22,15,0,0,8,127,80,47,0,0,20,5,5,0,,,
00322300,University of Oregon,2024,2023,101,48,53,0,0,19,41,17,24,0,0,9,60,31,29,0,0,10,7,7,0,,,
00322700,Willamette University,2024,2023,54,26,25,0,3,8,30,13,16,0,1,4,24,13,9,0,2,4,2,2,0,,,
00325600,Drexel University,2024,2023,140,62,78,0,0,28,39,14,25,0,0,9,101,48,53,0,0,19,5,5,0,,,
00325800,Duquesne University,2024,2023,103,53,50,0,0,10,35,15,20,0,0,3,68,38,30,0,0,7,5,4,1,,,
00331301,Widener University-Delaware,2024,2023,95,47,48,0,0,9,35,12,23,0,0,6,60,35,25,0,0,3,5,5,0,,,
00331302,Widener Commonwealth,2024,2023,59,31,28,0,0,6,18,6,12,0,0,2,41,25,16,0,0,4,3,3,0,,,
00332900,Pennsylvania State University-Penn State Law,2024,2023,65,33,31,0,1,11,46,24,22,0,0,9,19,9,9,0,1,2,3,3,0,,,
00332922,Pennsylvania State University,2024,2023,,,,,,,,,,,,,,,,,,,,,,,,
00332923,Pennsylvania State University-Dickinson School of Law,2024,2023,62,30,32,0,0,21,30,12,18,0,0,9,32,18,14,0,0,12,3,3,0,,,
00337101,Temple University,2024,2023,244,130,113,1,0,60,69,31,38,0,0,21,175,99,75,1,0,39,7,7,0,,,
