schoolid,schoolname,CalendarYear,AcademicYear,CondScholInd,NumEnteringCondSchol,NumEliminatedCondSchol,NumStudents,FTNumStudents,PTNumStudents,TotalRecvGrant,TotalRecvGrantP,FTRecvGrant,PTRecvGrant,TotalGrantLTHalf,TotalGrantLTHalfP,FTGrantLTHalf,PTGrantLTHalf,TotalGrantALHalf,TotalGrantALHalfP,FTGrantALHalf,PTGrantALHalf,TotalGrantFull,TotalGrantFullP,FTGrantFull,PTGrantFull,TotalGrantGTFull,TotalGrantGTFullP,FTGrantGTFull,PTGrantGTFull,FTGrantAmt75,PTGrantAmt75,FTGrantAmtMedian,PTGrantAmtMedian,FTGrantAmt25,PTGrantAmt25
00256900,University of Nevada - Las Vegas,2024,2023,N,,,438,378,60,317,72.4,295,22,147,33.6,130,17,93,21.2,91,2,41,9.4,40,1,35,8,34,1,42000,20750,28000,14000,18666,10500
00258903,University of New Hampshire,2024,2023,N,,,629,389,240,498,79.2,334,164,249,39.6,119,130,232,36.9,199,33,3,0.5,3,0,14,2.2,13,1,33000,16575,20000,7650,9500,3825
00262900,Rutgers University,2024,2023,Y,1,0,1303,1023,280,1114,85.5,903,211,701,53.8,540,161,406,31.2,358,48,0,0,0,0,6,0.5,4,2,20000,15938,15000,11250,12000,8000
00263201,Seton Hall University,2024,2023,Y,125,30,812,669,143,696,85.7,586,110,283,34.9,234,49,413,50.9,352,61,0,0,0,0,0,0,0,0,63800,47840,42000,25000,20000,15000
00266300,University of New Mexico,2024,2023,Y,39,3,300,300,0,173,57.7,173,,121,40.3,121,,36,12,36,,0,0,0,,6,2,6,,12000,,5600,,1347,
00267700,Brooklyn Law School,2024,2023,Y,361,74,1167,1084,83,1072,91.9,990,82,528,45.2,487,41,510,43.7,469,41,28,2.4,28,0,6,0.5,6,0,51000,40000,34000,25500,17000,13000
00270711,Columbia University,2024,2023,N,,,1410,1410,0,814,57.7,814,,496,35.2,496,,242,17.2,242,,69,4.9,69,,7,0.5,7,,50000,,30000,,19000,
00271101,Cornell University,2024,2023,N,,,586,586,0,514,87.7,514,,354,60.4,354,,151,25.8,151,,9,1.5,9,,0,0,0,,45000,,30000,,25000,
00272203,Fordham University,2024,2023,N,,,1357,1161,196,1186,87.4,1045,141,697,51.4,598,99,489,36,447,42,0,0,0,0,0,0,0,0,40500,30000,35000,20000,25000,10000
00273200,Hofstra University,2024,2023,Y,226,118,832,792,40,703,84.5,678,25,331,39.8,312,19,149,17.9,147,2,223,26.8,219,4,0,0,0,0,68860,33750,35000,17500,15000,5625
00278300,New York Law School,2024,2023,Y,314,71,1048,898,150,1005,95.9,865,140,454,43.3,387,67,330,31.5,288,42,5,0.5,4,1,216,20.6,186,30,50000,40690,35000,26542,10091,4836
00278500,New York University,2024,2023,N,,,1367,1367,0,910,66.6,910,,716,52.4,716,,53,3.9,53,,141,10.3,141,,0,0,0,,35000,,21000,,12000,
00279102,Pace University,2024,2023,Y,278,101,858,669,189,781,91,607,174,382,44.5,273,109,354,41.3,296,58,52,6.1,45,7,5,0.6,5,0,37500,25000,29000,18375,19000,12000
00282300,"St. John's University",2024,2023,N,,,799,776,23,636,79.6,621,15,223,27.9,213,10,413,51.7,408,5,0,0,0,0,0,0,0,0,70170,52630,70170,21000,30000,7500
00283700,University of Buffalo-SUNY,2024,2023,N,,,434,434,0,267,61.5,267,,159,36.6,159,,87,20,87,,0,0,0,,21,4.8,21,,18000,,12000,,6801,
00288200,Syracuse University,2024,2023,N,,,718,718,0,667,92.9,667,,415,57.8,415,,252,35.1,252,,0,0,0,,0,0,0,,34915,,23000,,13653,
00288600,Albany Law School of Union University,2024,2023,N,,,605,605,0,562,92.9,562,,233,38.5,233,,265,43.8,265,,39,6.4,39,,25,4.1,25,,45000,,35000,,20000,
00290301,Cardozo School of Law,2024,2023,N,,,939,939,0,921,98.1,921,,329,35,329,,553,58.9,553,,19,2,19,,15,1.6,15,,25000,,40000,,50000,
